date,price,,,year,new land planted (000 ha)
15/05/2010,17.58,,,2010,4
15/06/2010,17.42,,,2011,6
15/07/2010,18.15,,,2012,12
15/08/2010,18.35,,,2013,11
15/09/2010,20.1,,,2014,4
15/10/2010,19.96,,,2015,3
15/11/2010,20.61,,,2016,3
15/12/2010,20.42,,,2017,2
15/01/2011,19.2,,,2018,6
15/02/2011,19.32,,,2019,7
15/03/2011,20.28,,,2020,26
15/04/2011,20.16,,,2021,33
15/05/2011,19.99,,,2022,42
15/06/2011,18.76,,,2023,64
15/07/2011,16.84,,,2024,69
15/08/2011,14.79,,,2025,59
15/09/2011,14.91,,,,
15/10/2011,13.68,,,,
15/11/2011,12.81,,,,
15/12/2011,9.95,,,,
15/01/2012,7,,,,
15/02/2012,7.95,,,,
15/03/2012,7.62,,,,
15/04/2012,7.46,,,,
15/05/2012,6.23,,,,
15/06/2012,6.78,,,,
15/07/2012,6.24,,,,
15/08/2012,4.95,,,,
15/09/2012,4.02,,,,
15/10/2012,3,,,,
15/11/2012,2.73,,,,
15/12/2012,2.5,,,,
15/01/2013,2.35,,,,
15/02/2013,2.17,,,,
15/03/2013,1.85,,,,
15/04/2013,2.01,,,,
15/05/2013,1.94,,,,
15/06/2013,1.91,,,,
15/07/2013,2,,,,
15/08/2013,3.24,,,,
15/09/2013,4.39,,,,
15/10/2013,3.9,,,,
15/11/2013,3.19,,,,
15/12/2013,3.62,,,,
15/01/2014,3.21,,,,
15/02/2014,3.24,,,,
15/03/2014,3.07,,,,
15/04/2014,3.06,,,,
15/05/2014,4.05,,,,
15/06/2014,4.54,,,,
15/07/2014,4.06,,,,
15/08/2014,3.88,,,,
15/09/2014,4.4,,,,
15/10/2014,4.36,,,,
15/11/2014,4.39,,,,
15/12/2014,5.05,,,,
15/01/2015,5.98,,,,
15/02/2015,5.7,,,,
15/03/2015,6.43,,,,
15/04/2015,6.4,,,,
15/05/2015,5.34,,,,
15/06/2015,5.35,,,,
15/07/2015,6.92,,,,
15/08/2015,6.87,,,,
15/09/2015,6.69,,,,
15/10/2015,6.93,,,,
15/11/2015,7.82,,,,
15/12/2015,8.95,,,,
15/01/2016,9.58,,,,
15/02/2016,9.36,,,,
15/03/2016,10.79,,,,
15/04/2016,12.65,,,,
15/05/2016,14.54,,,,
15/06/2016,17.25,,,,
15/07/2016,17.98,,,,
15/08/2016,17.94,,,,
15/09/2016,18.82,,,,
15/10/2016,18.75,,,,
15/11/2016,17.68,,,,
15/12/2016,17.4,,,,
15/01/2017,17.09,,,,
15/02/2017,17.61,,,,
15/03/2017,17.49,,,,
15/04/2017,17.39,,,,
15/05/2017,16.96,,,,
15/06/2017,16.74,,,,
15/07/2017,17.64,,,,
15/08/2017,17.97,,,,
15/09/2017,18.25,,,,
15/10/2017,18.46,,,,
15/11/2017,19.23,,,,
15/12/2017,20.29,,,,
